compony,symbol
Agnico Eagle Mines Limited,AEM
Alimentation Couche-Tard Inc.,ATD.B
ARC Resources Ltd.,ARX
Bank of Montreal,BMO
Bank of Nova Scotia,BNS
Barrick Gold Corporation,ABX
BCE Inc.,BCE
BlackBerry Limited,BB
Bombardier Inc.,BBD.B
Brookfield Asset Management Inc.,BAM.A
Cameco Corporation,CCO
Canadian Imperial Bank of Commerce,CM
Canadian National Railway Company,CNR
Canadian Natural Resources Limited,CNQ
Canadian Pacific Railway Limited,CP
"Canadian Tire Corporation, Limited",CTC.A
CCL Industries Inc.,CCL.B
Cenovus Energy Inc.,CVE
CGI Group Inc.,GIB.A
Constellation Software Inc.,CSU
Crescent Point Energy Corp.,CPG
Dollarama Inc.,DOL
Emera Incorporated,EMA
Enbridge Inc.,ENB
Encana Corporation,ECA
First Quantum Minerals Ltd.,FM
Fortis Inc.,FTS
Franco-Nevada Corporation,FNV
George Weston Limited,WN
Gildan Activewear Inc.,GIL
Goldcorp Inc.,G
Husky Energy Inc.,HSE
Imperial Oil Limited,IMO
Inter Pipeline Ltd.,IPL
Kinross Gold Corporation,K
Loblaw Companies Limited,L
Magna International Inc.,MG
Manulife Financial Corporation,MFC
Metro Inc.,MRU
National Bank of Canada,NA
Nutrien Inc.,NTR
Open Text Corporation,OTEX
Pembina Pipeline Corporation,PPL
Power Corporation of Canada,POW
Restaurant Brands International Inc.,QSR
Rogers Communications Inc.,RCI.B
Royal Bank of Canada,RY
Saputo Inc.,SAP
Shaw Communications Inc.,SJR.B
SNC-Lavalin Group Inc.,SNC
Sun Life Financial Inc.,SLF
Suncor Energy Inc.,SU
Teck Resources Limited,TECK.A
Telus Corporation,T
Thomson Reuters Corporation,TRI
Toronto-Dominion Bank,TD
TransCanada Corporation,TRP
"Valeant Pharmaceuticals International, Inc.",VRX
Waste Connections US Inc.,WCN
Wheaton Precious Metals Corporation,WPM
